Date,Aportes Caudal m3/s_ANTIOQUIA,Aportes Energía kWh_ANTIOQUIA,Aportes %_ANTIOQUIA,Aportes Caudal m3/s_CENTRO,Aportes Energía kWh_CENTRO,Aportes %_CENTRO,Aportes Caudal m3/s_ORIENTE,Aportes Energía kWh_ORIENTE,Aportes %_ORIENTE,Aportes Caudal m3/s_RIOS ESTIMADOS,Aportes Energía kWh_RIOS ESTIMADOS,Aportes %_RIOS ESTIMADOS,Aportes Caudal m3/s_VALLE,Aportes Energía kWh_VALLE,Aportes %_VALLE,Aportes Caudal m3/s_CARIBE,Aportes Energía kWh_CARIBE,Aportes %_CARIBE,Caudal,Energia
2020-05-26,187.122,30776300.0,33.05054537387999,205.12,7904600.0,83.76205445239059,1386.566,47598300.0,91.97741266463865,199.002,44066600.0,87.8515474934005,0.0,2429100.0,64.0923482849604,313.53,3467400.0,73.9317697228145,2291.34,136242300.0
2020-05-27,195.264,33094300.0,37.63246775915402,231.66000000000003,8030600.0,90.18551948285165,1200.4,44831800.0,95.9724537563924,444.055,86113300.0,182.88269793665302,0.0,2830600.0,74.6860158311346,584.87,6468200.0,137.914712153518,2656.249,181368800.0
2020-05-28,368.15999999999997,64195000.0,63.703420611142874,214.05,8311900.0,84.3266052786739,827.923,35582600.0,66.19020733217899,193.80700000000002,40484700.0,85.37682564096502,0.0,2697900.0,71.1846965699208,488.92,5407100.0,115.28997867803801,2092.86,156679200.0
2020-05-29,243.543,43481800.0,46.728312269236056,278.93,12199300.0,106.77182896604242,773.7070000000001,35120000.0,58.81547949868883,170.90800000000002,35055800.0,68.4460387035899,0.0,2233500.0,58.9313984168865,418.97,4633500.0,98.7953091684435,1886.0580000000002,132723900.0
2020-05-30,458.005,77447100.0,77.15806274541842,269.98,10944600.0,121.59140690778186,1528.795,61907000.0,89.39912338783577,237.372,51875800.0,101.05908314981036,0.0,3549000.0,93.6411609498681,545.12,6028600.0,128.54157782516,3039.272,211752100.0
2020-05-31,289.441,49542300.0,49.979195390594924,312.67,12890800.0,124.4019066022156,1582.638,67207400.0,108.48757138754547,213.942,46636200.0,101.03743055371335,0.0,3079100.0,81.2427440633245,440.33,4869700.0,103.831556503198,2839.0209999999997,184225500.0
2020-06-01,257.072,40328600.0,52.06209295095082,242.32,10062200.0,106.30118312541352,1911.386,76819900.0,113.64075535254514,274.879,61248400.0,104.55026978764016,0.0,2584100.0,83.0900321543408,371.68,4110500.0,76.9756554307116,3057.3369999999995,195153700.0
2020-06-02,220.317,38026600.0,45.69738300231477,246.89,9504700.0,103.17634394719407,1256.0860000000002,52930400.0,93.31908413923355,163.599,35642500.0,54.237104661776726,0.0,1941200.0,62.4180064308682,343.57,3799600.0,71.15355805243449,2230.462,141845000.0
2020-06-03,281.72200000000004,42685300.0,55.57509332173143,303.3,11949600.0,142.26439020060366,1107.7440000000001,42134900.0,89.814339888849,157.73399999999998,34597900.0,52.33095580903014,0.0,1884700.0,60.6012861736334,276.18,3054300.0,57.1966292134831,2126.68,136306700.0
2020-06-04,249.199,43158900.0,50.88328458898823,271.61999999999995,10109500.0,119.22437317431373,945.8299999999999,39221000.0,78.15695080131283,260.87,63894600.0,115.58944160000242,0.0,2169800.0,69.76848874598069,242.58,2682700.0,50.2378277153558,1970.0989999999997,161236500.0
2020-06-05,228.573,39102300.0,52.382255890504915,226.56,8532200.0,97.66376587641001,688.803,28494400.0,66.04094019503319,166.08999999999997,38295300.0,62.32760153648427,0.0,1585400.0,50.9774919614148,246.79,2729300.0,51.1104868913858,1556.816,118738900.0
2020-06-06,388.315,67194400.0,89.53412634490746,201.01000000000002,7330000.0,85.64679123025036,806.0329999999999,42581500.0,70.15689442970704,458.151,100960600.0,144.791903244414,0.0,3075200.0,98.8810289389068,215.26,2380600.0,44.5805243445693,2068.7690000000002,223522300.0
2020-06-07,232.325,39466100.0,49.68605718948142,198.49,7324700.0,87.61813541952458,865.111,44238900.0,66.37312502884646,260.03,56341300.0,83.10283187565909,0.0,2068900.0,66.524115755627,194.03,2145800.0,40.1835205992509,1749.9859999999999,151585700.0
2020-06-08,216.623,35346200.0,44.5035848481561,173.98999999999998,6270400.0,71.76242628665493,743.293,34247100.0,52.70525365947767,171.49400000000003,36920900.0,51.88471162054507,0.0,1753400.0,56.379421221865,217.19,2401900.0,44.9794007490637,1522.5900000000001,116939900.0
2020-06-09,206.347,34317100.0,43.284813059142,182.70000000000002,7458500.0,81.65067459612992,617.299,29769800.0,47.928711960529824,133.94,28970100.0,40.84929762279534,0.0,1596900.0,51.347266881028894,301.37,3332900.0,62.4138576779026,1441.656,105445300.0
2020-06-10,419.086,72455500.0,81.02786807558158,172.01,6753000.0,73.17018656294886,777.798,33671000.0,48.96905334014239,131.59699999999998,29283600.0,41.6760599491749,0.0,1810200.0,58.2057877813505,297.54,3290600.0,61.621722846442,1798.031,147263900.0
2020-06-11,363.88199999999995,57357700.0,70.8507574153471,195.34999999999997,7178500.0,82.27002590255475,921.924,36389900.0,76.41580765537938,389.125,80747700.0,115.10186376751084,0.0,2378700.0,76.4855305466238,241.01,2665400.0,49.9138576779026,2111.291,186717900.0
2020-06-12,733.9010000000002,123464200.0,136.84502649327428,180.47,6456600.0,75.30138784435871,1491.326,59474300.0,117.03077391665038,219.77800000000002,44711500.0,63.59568577110227,0.0,3259100.0,104.79421221864999,283.59,3136300.0,58.7322097378277,2909.0650000000005,240502000.0
2020-06-13,287.99899999999997,47181600.0,53.91251642131729,207.05999999999997,7316100.0,94.34002840404756,1043.997,51140100.0,79.97367565983764,251.366,54239600.0,79.21060982823714,0.0,2154100.0,69.2636655948553,266.17,2943600.0,55.12359550561799,2056.592,164975100.0
2020-06-14,393.5319999999999,63716200.0,92.64493373811824,213.76,7920300.0,93.30293772089796,1160.664,53473600.0,97.21748002411482,257.828,57657500.0,88.23605028646277,0.0,2491100.0,80.0996784565916,256.37,2835200.0,53.09363295880149,2282.154,188093900.0
